Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,,Classe de Custo,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Total Exer,,,
,    62869683  Treinamento pess,888.98,577.62,507.15,0,579.89,686.06,645.92,686.06,670.88,605.74,1277.18,928.19,8053.67,,    62319721  Brindes,0,0,3174.53,0,0,3174.53,,,
,    62869686  Confraternizaçõe,98.89,0,0,0,152.32,0,0,355.47,0,0,0,0,606.68,,    60669641  Ordens Tangível,0,0,0,0,0,0,,,
,    62209808  Interco - Outros,0,0,0,0,35.72,0,0,0,0,0,33.18,0,68.9,,,,,,,,,,,
,    60669641  Ordens Tangível,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,*   Outras Despesas,8424.99,10768.65,15269.15,8654.17,6433.89,16234.09,21656.44,16446.01,18252.68,6866.56,17280.35,2644.71,148931.69,,*   Outras Despesas,9441.67,7478.93,10894.64,12741.66,19289.78,59846.68,,,
,    70908052  Descto Financ.Fo,-591.6,-667.42,-1248.88,-1246.69,-635.66,-583.85,-488.3,-604.89,-1017.81,-1106.8,-628.13,-849.02,-9669.05,,    70908052  Descto Financ.Fo,-616.45,-794.65,-1225.01,-146.34,-855.53,-3637.98,,,
,    70908054  Bonificação Inte,-15.21,-14.37,-29.49,-31.6,-17.27,-16.7,-13.65,-15.12,-26.05,-28.61,-15.44,-0.38,-223.89,,    70908054  Bonificação Inte,-19.04,-22.89,-38.81,-4.95,0,-85.69,,,
,*   Bonificação,-606.81,-681.79,-1278.37,-1278.29,-652.93,-600.55,-501.95,-620.01,-1043.86,-1135.41,-643.57,-849.4,-9892.94,,*   Bonificação,-635.49,-817.54,-1263.82,-151.29,-855.53,-3723.67,,,
,**  Gross Profit Exc. IFRS16,-47742.41,-26791.27,-34034.13,-72863.29,-51505,-110325.33,-47766.64,-30059.05,-29904.58,-42857.96,5543.24,-82817.38,-571123.8,,**  Gross Profit Exc. IFRS16,-48309.85,-43919.62,-50792.08,-34234.57,-195138.36,-372394.48,,,
,*** *Total,-47742.41,-26791.27,-34034.13,-72863.29,-51505,-110325.33,-47766.64,-30059.05,-29904.58,-42857.96,5543.24,-82817.38,-571123.8,,*** *Total,-48309.85,-43919.62,-50792.08,-34234.57,-195138.36,-372394.48,,,
